date,details,refno,cheque,debit,credit,balance
01/03/2026,SWIGGY ORDER,REF001,,450.00,,25550.00
02/03/2026,SALARY CREDIT,REF002,,,45000.00,70550.00
03/03/2026,UBER RIDE,REF003,,180.00,,70370.00
04/03/2026,AMAZON PURCHASE,REF004,,1299.00,,69071.00
05/03/2026,ELECTRICITY BILL PAYMENT,REF005,,1150.00,,67921.00
06/03/2026,ZOMATO ORDER,REF006,,320.00,,67601.00
07/03/2026,ATM WITHDRAWAL,REF007,,2000.00,,65601.00
08/03/2026,NETFLIX SUBSCRIPTION,REF008,,499.00,,65102.00
09/03/2026,GROCERY SHOPPING,REF009,,870.00,,64232.00
10/03/2026,UPI TRANSFER TO RAHUL,REF010,,500.00,,63732.00
11/03/2026,DOCTOR VISIT,REF011,,600.00,,63132.00
12/03/2026,FLIPKART ORDER,REF012,,2499.00,,60633.00
13/03/2026,BUS PASS RECHARGE,REF013,,300.00,,60333.00
14/03/2026,RESTAURANT DINNER,REF014,,850.00,,59483.00
15/03/2026,INTEREST CREDIT,REF015,,,120.00,59603.00
16/03/2026,MOBILE RECHARGE,REF016,,239.00,,59364.00
17/03/2026,GYM MEMBERSHIP,REF017,,500.00,,58864.00
18/03/2026,MYNTRA CLOTHES,REF018,,1799.00,,57065.00
19/03/2026,PETROL REFILL,REF019,,800.00,,56265.00
20/03/2026,MEDICAL CHECKUP,REF020,,750.00,,55515.00
